iMax B6 mini;Outlet A
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];Temperature Ext [°C];Temperature Int [°C];BatteryRi [m?]
00:03:01.000;5.16;0.30;4;0.0;37.0;0.00
00:03:02.000;5.16;0.30;4;0.0;37.0;0.00
00:03:03.000;5.16;0.30;4;0.0;37.0;0.00
00:03:04.000;5.16;0.30;4;0.0;37.0;0.00
00:03:05.000;5.16;0.30;4;0.0;37.0;0.00
00:03:06.000;5.16;0.30;4;0.0;37.0;0.00
00:03:07.000;5.16;0.30;5;0.0;36.0;0.00
00:03:08.000;5.16;0.30;5;0.0;36.0;0.00
00:03:09.000;5.16;0.30;5;0.0;36.0;0.00
00:03:10.000;5.16;0.30;5;0.0;36.0;0.00
00:03:11.000;5.16;0.30;5;0.0;36.0;0.00
00:03:12.000;5.16;0.30;5;0.0;36.0;0.00
00:03:13.000;5.16;0.31;5;0.0;36.0;0.00
00:03:14.000;5.16;0.31;5;0.0;36.0;0.00
00:03:15.000;5.16;0.31;5;0.0;36.0;0.00
00:03:16.000;5.16;0.31;5;0.0;36.0;0.00
00:03:17.000;5.16;0.31;5;0.0;36.0;0.00
00:03:18.000;5.16;0.31;5;0.0;36.0;0.00
00:03:19.000;5.16;0.31;5;0.0;36.0;0.00
00:03:20.000;5.16;0.30;5;0.0;36.0;0.00
00:03:21.000;5.16;0.30;5;0.0;36.0;0.00
00:03:22.000;5.16;0.30;5;0.0;36.0;0.00
00:03:23.000;5.16;0.30;5;0.0;36.0;0.00
00:03:24.000;5.16;0.30;5;0.0;36.0;0.00
00:03:25.000;5.16;0.30;5;0.0;36.0;0.00
00:03:26.000;5.16;0.31;5;0.0;36.0;0.00
00:03:27.000;5.16;0.31;5;0.0;36.0;0.00
00:03:28.000;5.16;0.31;5;0.0;36.0;0.00
00:03:29.000;5.16;0.31;5;0.0;36.0;0.00
00:03:30.000;5.16;0.30;5;0.0;36.0;0.00
00:03:31.000;5.16;0.30;5;0.0;36.0;0.00
00:03:32.000;5.16;0.30;5;0.0;36.0;0.00
00:03:33.000;5.16;0.30;5;0.0;36.0;0.00
00:03:34.000;5.16;0.30;5;0.0;36.0;0.00
00:03:35.000;5.16;0.30;5;0.0;36.0;0.00
00:03:36.000;5.16;0.31;5;0.0;36.0;0.00
00:03:37.000;5.16;0.31;5;0.0;36.0;0.00
00:03:38.000;5.16;0.31;5;0.0;36.0;0.00
00:03:39.000;5.16;0.32;5;0.0;36.0;0.00
00:03:40.000;5.16;0.32;5;0.0;36.0;0.00
00:03:41.000;5.16;0.32;5;0.0;36.0;0.00
00:03:42.000;5.16;0.30;5;0.0;36.0;0.00
00:03:43.000;5.16;0.30;5;0.0;36.0;0.00
00:03:44.000;5.16;0.30;5;0.0;36.0;0.00
00:03:45.000;5.16;0.30;6;0.0;36.0;0.00
00:03:46.000;5.16;0.30;6;0.0;36.0;0.00
00:03:47.000;5.16;0.30;6;0.0;36.0;0.00
00:03:48.000;5.16;0.31;6;0.0;36.0;0.00
00:03:49.000;5.16;0.31;6;0.0;36.0;0.00
00:03:50.000;5.16;0.30;6;0.0;36.0;0.00
00:03:51.000;5.16;0.30;6;0.0;36.0;0.00
00:03:52.000;5.16;0.30;6;0.0;36.0;0.00
00:03:53.000;5.16;0.30;6;0.0;36.0;0.00
00:03:54.000;5.15;0.30;6;0.0;36.0;0.00
00:03:55.000;5.15;0.30;6;0.0;36.0;0.00
00:03:56.000;5.15;0.30;6;0.0;36.0;0.00
00:03:57.000;5.15;0.30;6;0.0;36.0;0.00
00:03:58.000;5.15;0.30;6;0.0;36.0;0.00
00:03:59.000;5.15;0.30;6;0.0;36.0;0.00
00:04:00.000;5.15;0.30;7;0.0;36.0;0.00
00:04:01.000;5.15;0.30;7;0.0;36.0;0.00
00:04:02.000;5.15;0.31;7;0.0;36.0;0.00
00:04:03.000;5.15;0.30;7;0.0;36.0;0.00
00:04:04.000;5.15;0.30;7;0.0;36.0;0.00
00:04:05.000;5.15;0.31;7;0.0;36.0;0.00
00:04:06.000;5.15;0.30;7;0.0;36.0;0.00
00:04:07.000;5.15;0.30;7;0.0;36.0;0.00
00:04:08.000;5.15;0.30;7;0.0;36.0;0.00
00:04:09.000;5.15;0.31;7;0.0;36.0;0.00
00:04:10.000;5.15;0.31;7;0.0;36.0;0.00
00:04:11.000;5.15;0.31;8;0.0;36.0;0.00
00:04:12.000;5.15;0.30;8;0.0;36.0;0.00
00:04:13.000;5.15;0.30;8;0.0;36.0;0.00
00:04:14.000;5.15;0.30;8;0.0;36.0;0.00
00:04:15.000;5.15;0.30;8;0.0;36.0;0.00
00:04:16.000;5.15;0.30;8;0.0;36.0;0.00
00:04:17.000;5.15;0.30;8;0.0;36.0;0.00
00:04:18.000;5.15;0.30;8;0.0;36.0;0.00
00:04:19.000;5.15;0.30;8;0.0;36.0;0.00
00:04:20.000;5.14;0.30;8;0.0;36.0;0.00
00:04:21.000;5.14;0.31;8;0.0;36.0;0.00
00:04:22.000;5.14;0.30;8;0.0;36.0;0.00
00:04:23.000;5.14;0.30;8;0.0;36.0;0.00
00:04:24.000;5.14;0.31;9;0.0;36.0;0.00
00:04:25.000;5.14;0.30;9;0.0;36.0;0.00
